"","Species","mean_slope","ci_lower","ci_upper","slope_var","n_gardens","temp_min","temp_max","temp_mean","n_data"
"38","Centranthus ruber",-22.5579015830395,-30.3908138140528,-14.6501788751244,18.2050495224802,6,8.641666667,16.24166667,11.9311111108667,15
"39","Chelidonium majus",1.72653595252692,-18.8003828295199,19.2999709859224,76.2251527586744,6,5.541666667,12.79166667,10.8487179484615,26
"40","Clematis integrifolia",-15.3926891444845,-42.9366193131159,7.55811725664268,186.506729634872,3,10.65833333,12.79166667,11.3159090909091,11
"41","Clematis recta",-8.25306948281085,-25.1082627083698,1.58490905904159,51.5760037861771,8,8.641666667,16.24166667,11.2411111106667,30
"42","Colchicum autumnale",2.83816614197103,-0.523964486782474,5.4416955208975,3.52467795333885,10,3.583333333,15.50833333,10.4709459455676,37
"43","Comarum palustre",6.04948326052686,-17.528749843235,26.0186450061269,138.769524847127,5,9.583333333,12.175,11.0087301587143,21
"44","Conium maculatum",0.78294879770775,-19.2303412012111,24.3903010741111,108.538267667217,4,8.641666667,12.175,10.9046875001875,16
"45","Convallaria majalis",2.60523322348201,-23.3543663657181,18.497132299904,87.5846598826298,14,3.583333333,12.79166667,10.4321180554792,48
"46","Corydalis solida",0.192571638484873,-7.29188001692571,12.4788994840907,27.6265241353615,3,10.15,12.175,11.2798611108333,12
"47","Crocus speciosus",10.5557883801994,-0.90878399943418,18.3446591075935,21.4449782963893,3,8.641666667,12.175,10.48055555525,12
"48","Cyclamen coum",-9.22747298555131,-49.506613574688,12.5692377491779,220.51949504387,4,8.641666667,12.175,10.9321428569286,14
"49","Dactylis glomerata",-6.78608035070084,-36.9461114754826,30.5032823332295,278.151535049052,4,9.583333333,12.79166667,11.2912037040556,18
"50","Dianthus superbus",12.2845747272455,-8.91634535309421,29.1953030917464,86.4878225881928,6,4.691666667,12.43333333,10.8456349198571,21
"51","Dictamnus albus",2.87291554500092,-9.88777312885414,16.9621933671446,38.9693659175773,11,4.691666667,12.79166667,10.6142543856842,38
"52","Dryas octopetala",12.1834799605002,-1.25323327833391,37.609609422215,87.7448092450796,10,4.691666667,12.79166667,10.4669354837419,31
"53","Epilobium angustifolium",4.83394106354682,-1.50862585568294,14.5636595839237,16.9030475908595,6,4.691666667,12.79166667,10.2068840576522,23
"54","Eranthis hyemalis",-0.498781524983634,-16.0274706898934,11.6439296645887,41.4947637344322,10,5.541666667,12.79166667,10.994362745,34
"55","Eryngium campestre",11.0105585825485,-18.2411898429056,30.1113178491989,146.375798643267,6,9.583333333,12.79166667,11.31033333332,25
"56","Eupatorium cannabinum",-7.05724679556894,-19.9154919755551,1.97383127878503,36.6754396681691,8,8.641666667,15.36666667,11.116397849129,31
"57","Ficaria verna",-9.4925849884507,-70.7257982960099,6.36233206537944,439.174648852331,4,5.541666667,12.175,10.8553030297273,11
"58","Filipendula vulgaris",7.28915855364873,3.67823822397432,11.2798108178805,5.12914963148102,4,4.175,11.76666667,9.2525000003,10
"59","Fragaria vesca",-0.705067610314104,-15.5733230464347,8.64018106829331,35.653472915481,12,3.583333333,16.24166667,10.706041666375,40
"60","Galanthus nivalis",4.20432028623183,-4.61494054753058,9.27110760656742,13.1079734900439,8,4.833333333,12.175,10.570454545,22
"61","Galega officinalis",-9.69151563042608,-34.4081296690361,17.485178324149,140.206330484103,7,8.641666667,15.78333333,11.2017241373448,29
"62","Galium odoratum",12.0695764552008,2.32802340058846,21.0488163215049,28.33477373744,9,3.583333333,15.38333333,9.8469444442,30
"63","Genista tinctoria",-15.5813789068725,-36.7585324313008,7.86776628373189,122.64817723632,7,9.85,12.79166667,11.3967391301304,23
"64","Gentiana cruciata",0.0542700757396188,-22.2231608224899,22.9048012445523,125.08776206869,5,9.85,12.175,11.0390624995625,16
"65","Gentiana lutea",4.03419969802108,-7.95617361156681,15.3124852698114,36.2084499664458,8,4.833333333,12.79166667,10.6903846151154,26
"66","Geranium sanguineum",7.99984062164426,1.59714712290579,27.1282427497766,39.5451415635113,9,3.583333333,12.175,9.8505555553,30
